metro,sector,subsector,headcount,sector_pct,subsector_pct
Charlotte,Logistics & Transportation,Freight & Shipping,4537,7.0,13.37
Charlotte,Logistics & Transportation,Warehousing,15209,7.0,44.8
Charlotte,Logistics & Transportation,Courier Services,1831,7.0,5.39
Charlotte,Logistics & Transportation,Logistics Management,3374,7.0,9.94
Charlotte,Logistics & Transportation,Air Cargo,8997,7.0,26.5
Charlotte,Construction,Commercial Construction,11084,6.0,38.09
Charlotte,Construction,Residential Construction,3417,6.0,11.74
Charlotte,Construction,Infrastructure,14597,6.0,50.16
Charlotte,Education,Higher Education,777,5.0,3.21
Charlotte,Education,K-12 Schools,11737,5.0,48.4
Charlotte,Education,Private Schools,7298,5.0,30.1
Charlotte,Education,Training & Development,4436,5.0,18.29
Charlotte,Real Estate,Property Management,7681,3.0,52.79
Charlotte,Real Estate,Commercial Real Estate,6095,3.0,41.89
Charlotte,Real Estate,Residential Sales,773,3.0,5.31
Charlotte,Government,Federal Agencies,3128,2.0,32.25
Charlotte,Government,Local Government,1086,2.0,11.2
Charlotte,Government,State Government,2309,2.0,23.81
Charlotte,Government,Military & Defense,3175,2.0,32.73
Charlotte,Energy & Utilities,Oil & Gas,1411,1.0,29.1
Charlotte,Energy & Utilities,Renewable Energy,429,1.0,8.87
Charlotte,Energy & Utilities,Electric Utilities,954,1.0,19.67
Charlotte,Energy & Utilities,Water & Waste,2054,1.0,42.36
Charlotte,Media & Entertainment,Broadcasting,2244,1.0,46.27
Charlotte,Media & Entertainment,Music Production,2596,1.0,53.54
Charlotte,Media & Entertainment,Event Management,9,1.0,0.19
Charlotte,Non-Profit,Charitable Organizations,4603,2.0,47.46
Charlotte,Non-Profit,Foundations,3479,2.0,35.87
Charlotte,Non-Profit,Community Services,1617,2.0,16.67
DC,Government,Federal Agencies,126720,32.0,55.0
DC,Government,Local Government,27648,32.0,12.0
DC,Government,State Government,18432,32.0,8.0
DC,Government,Military & Defense,57600,32.0,25.0
DC,Professional Services,Consulting,58320,18.0,45.0
DC,Professional Services,Legal Services,32400,18.0,25.0
DC,Professional Services,Accounting,19440,18.0,15.0
DC,Professional Services,Marketing & PR,12960,18.0,10.0
DC,Professional Services,Architecture,6480,18.0,5.0
DC,Technology,Software Development,21600,12.0,25.0
DC,Technology,IT Services,17280,12.0,20.0
DC,Technology,Data Analytics,12960,12.0,15.0
DC,Technology,Cybersecurity,30239,12.0,35.0
DC,Technology,Cloud Services,4320,12.0,5.0
DC,Healthcare,Hospitals,1262,9.0,1.95
DC,Healthcare,Medical Research,27108,9.0,41.83
DC,Healthcare,Pharmaceutical,21994,9.0,33.94
DC,Healthcare,Healthcare Support,3127,9.0,4.83
DC,Healthcare,Outpatient Care,11307,9.0,17.45
DC,Education,Higher Education,24190,7.0,48.0
DC,Education,K-12 Schools,11531,7.0,22.88
DC,Education,Private Schools,10736,7.0,21.3
DC,Education,Training & Development,3941,7.0,7.82
DC,Retail & Hospitality,Retail Stores,1202,8.0,2.09
DC,Retail & Hospitality,Restaurants & Bars,28003,8.0,48.62
DC,Retail & Hospitality,Hotels & Tourism,28393,8.0,49.29
DC,Financial Services,Banking,9194,4.0,31.92
DC,Financial Services,Insurance,3796,4.0,13.18
DC,Financial Services,Investment Management,3939,4.0,13.68
DC,Financial Services,Financial Advisory,11869,4.0,41.22
DC,Logistics & Transportation,Freight & Shipping,6934,3.0,32.1
DC,Logistics & Transportation,Warehousing,6650,3.0,30.79
DC,Logistics & Transportation,Courier Services,4615,3.0,21.37
DC,Logistics & Transportation,Logistics Management,3132,3.0,14.5
DC,Logistics & Transportation,Air Cargo,267,3.0,1.24
DC,Non-Profit,Charitable Organizations,1120,3.0,5.19
DC,Non-Profit,Foundations,14549,3.0,67.36
DC,Non-Profit,Community Services,5929,3.0,27.45
DC,Real Estate,Property Management,110,2.0,0.77
DC,Real Estate,Commercial Real Estate,1278,2.0,8.88
DC,Real Estate,Residential Sales,13011,2.0,90.36
DC,Construction,Commercial Construction,37,1.0,0.52
DC,Construction,Residential Construction,1293,1.0,17.96
DC,Construction,Infrastructure,5869,1.0,81.52
DC,Media & Entertainment,Broadcasting,3408,1.0,47.34
DC,Media & Entertainment,Music Production,3055,1.0,42.44
DC,Media & Entertainment,Event Management,735,1.0,10.21
Pittsburgh,Healthcare,Hospitals,39650,26.0,50.0
Pittsburgh,Healthcare,Medical Research,15860,26.0,20.0
Pittsburgh,Healthcare,Pharmaceutical,3965,26.0,5.0
Pittsburgh,Healthcare,Healthcare Support,7930,26.0,10.0
Pittsburgh,Healthcare,Outpatient Care,11895,26.0,15.0
Pittsburgh,Education,Higher Education,25162,15.0,55.0
Pittsburgh,Education,K-12 Schools,11437,15.0,25.0
Pittsburgh,Education,Private Schools,5490,15.0,12.0
Pittsburgh,Education,Training & Development,3660,15.0,8.0
Pittsburgh,Technology,Software Development,10980,12.0,30.0
Pittsburgh,Technology,IT Services,9150,12.0,25.0
Pittsburgh,Technology,Data Analytics,7320,12.0,20.0
Pittsburgh,Technology,Cybersecurity,5490,12.0,15.0
Pittsburgh,Technology,Cloud Services,3660,12.0,10.0
Pittsburgh,Professional Services,Consulting,428,9.0,1.56
Pittsburgh,Professional Services,Legal Services,4001,9.0,14.58
Pittsburgh,Professional Services,Accounting,19325,9.0,70.4
Pittsburgh,Professional Services,Marketing & PR,632,9.0,2.3
Pittsburgh,Professional Services,Architecture,3061,9.0,11.15
Pittsburgh,Retail & Hospitality,Retail Stores,12407,9.0,45.2
Pittsburgh,Retail & Hospitality,Restaurants & Bars,7982,9.0,29.08
Pittsburgh,Retail & Hospitality,Hotels & Tourism,7059,9.0,25.72
Pittsburgh,Manufacturing,Industrial Equipment,5555,8.0,22.77
Pittsburgh,Manufacturing,Food Processing,2041,8.0,8.37
Pittsburgh,Manufacturing,Automotive Parts,1592,8.0,6.53
Pittsburgh,Manufacturing,Chemicals,7595,8.0,31.13
Pittsburgh,Manufacturing,Electronics,7613,8.0,31.2
Pittsburgh,Financial Services,Banking,6285,6.0,34.35
Pittsburgh,Financial Services,Insurance,7614,6.0,41.61
Pittsburgh,Financial Services,Investment Management,2230,6.0,12.19
Pittsburgh,Financial Services,Financial Advisory,2168,6.0,11.85
Pittsburgh,Construction,Commercial Construction,5058,4.0,41.46
Pittsburgh,Construction,Residential Construction,3316,4.0,27.19
Pittsburgh,Construction,Infrastructure,3824,4.0,31.35
Pittsburgh,Government,Federal Agencies,4141,4.0,33.95
Pittsburgh,Government,Local Government,5754,4.0,47.17
Pittsburgh,Government,State Government,1075,4.0,8.81
Pittsburgh,Government,Military & Defense,1227,4.0,10.06
Pittsburgh,Logistics & Transportation,Freight & Shipping,375,3.0,4.1
Pittsburgh,Logistics & Transportation,Warehousing,3281,3.0,35.86
Pittsburgh,Logistics & Transportation,Courier Services,139,3.0,1.52
Pittsburgh,Logistics & Transportation,Logistics Management,2381,3.0,26.03
Pittsburgh,Logistics & Transportation,Air Cargo,2973,3.0,32.49
Pittsburgh,Energy & Utilities,Oil & Gas,1583,2.0,25.97
Pittsburgh,Energy & Utilities,Renewable Energy,4192,2.0,68.73
Pittsburgh,Energy & Utilities,Electric Utilities,145,2.0,2.38
Pittsburgh,Energy & Utilities,Water & Waste,178,2.0,2.93
Pittsburgh,Real Estate,Property Management,2281,1.0,74.8
Pittsburgh,Real Estate,Commercial Real Estate,589,1.0,19.32
Pittsburgh,Real Estate,Residential Sales,179,1.0,5.88
Pittsburgh,Media & Entertainment,Broadcasting,919,1.0,30.13
Pittsburgh,Media & Entertainment,Music Production,1828,1.0,59.95
Pittsburgh,Media & Entertainment,Event Management,302,1.0,9.92
Pittsburgh,Non-Profit,Charitable Organizations,5323,2.0,87.27
Pittsburgh,Non-Profit,Foundations,486,2.0,7.98
Pittsburgh,Non-Profit,Community Services,289,2.0,4.75
Houston,Energy & Utilities,Oil & Gas,82225,23.0,55.0
Houston,Energy & Utilities,Renewable Energy,22425,23.0,15.0
Houston,Energy & Utilities,Electric Utilities,26910,23.0,18.0
Houston,Energy & Utilities,Water & Waste,17940,23.0,12.0
Houston,Healthcare,Hospitals,34125,15.0,35.0
Houston,Healthcare,Medical Research,29250,15.0,30.0
Houston,Healthcare,Pharmaceutical,4875,15.0,5.0
Houston,Healthcare,Healthcare Support,19500,15.0,20.0
Houston,Healthcare,Outpatient Care,9750,15.0,10.0
Houston,Manufacturing,Industrial Equipment,21125,13.0,25.0
Houston,Manufacturing,Food Processing,10140,13.0,12.0
Houston,Manufacturing,Automotive Parts,6760,13.0,8.0
Houston,Manufacturing,Chemicals,29574,13.0,35.0
Houston,Manufacturing,Electronics,16900,13.0,20.0
Houston,Professional Services,Consulting,11461,10.0,17.63
Houston,Professional Services,Legal Services,31810,10.0,48.94
Houston,Professional Services,Accounting,17614,10.0,27.1
Houston,Professional Services,Marketing & PR,2914,10.0,4.48
Houston,Professional Services,Architecture,1199,10.0,1.84
Houston,Logistics & Transportation,Freight & Shipping,10722,9.0,18.33
Houston,Logistics & Transportation,Warehousing,280,9.0,0.48
Houston,Logistics & Transportation,Courier Services,9189,9.0,15.71
Houston,Logistics & Transportation,Logistics Management,29374,9.0,50.21
Houston,Logistics & Transportation,Air Cargo,8933,9.0,15.27
Houston,Technology,Software Development,4433,8.0,8.53
Houston,Technology,IT Services,9302,8.0,17.89
Houston,Technology,Data Analytics,5531,8.0,10.64
Houston,Technology,Cybersecurity,7118,8.0,13.69
Houston,Technology,Cloud Services,25612,8.0,49.26
Houston,Construction,Commercial Construction,3642,7.0,8.01
Houston,Construction,Residential Construction,24256,7.0,53.31
Houston,Construction,Infrastructure,17600,7.0,38.68
Houston,Retail & Hospitality,Retail Stores,21459,6.0,55.02
Houston,Retail & Hospitality,Restaurants & Bars,7079,6.0,18.15
Houston,Retail & Hospitality,Hotels & Tourism,10461,6.0,26.82
Houston,Financial Services,Banking,356,4.0,1.37
Houston,Financial Services,Insurance,1924,4.0,7.4
Houston,Financial Services,Investment Management,22286,4.0,85.72
Houston,Financial Services,Financial Advisory,1432,4.0,5.51
Houston,Government,Federal Agencies,1262,2.0,9.71
Houston,Government,Local Government,6124,2.0,47.11
Houston,Government,State Government,77,2.0,0.6
Houston,Government,Military & Defense,5535,2.0,42.58
Houston,Education,Higher Education,1629,2.0,12.53
Houston,Education,K-12 Schools,618,2.0,4.76
Houston,Education,Private Schools,5872,2.0,45.17
Houston,Education,Training & Development,4879,2.0,37.53
Houston,Real Estate,Property Management,2699,1.0,41.53
Houston,Real Estate,Commercial Real Estate,1708,1.0,26.28
Houston,Real Estate,Residential Sales,2092,1.0,32.19
Houston,Media & Entertainment,Broadcasting,1124,1.0,17.3
Houston,Media & Entertainment,Music Production,662,1.0,10.2
Houston,Media & Entertainment,Event Management,4712,1.0,72.5
Houston,Non-Profit,Charitable Organizations,1564,1.0,24.06
Houston,Non-Profit,Foundations,4429,1.0,68.15
Houston,Non-Profit,Community Services,506,1.0,7.79
